timestamps,TP9,AF7,AF8,TP10,Right AUX
1681290749.943,-35.156,-41.992,143.066,-33.691,0.000
1681290749.947,-37.109,-41.992,138.672,-33.691,0.000
1681290749.951,-28.809,-43.945,138.184,-24.902,0.000
1681290749.955,-34.180,-43.457,127.930,-26.855,0.000
1681290749.959,-36.133,-43.945,129.395,-32.715,0.000
1681290749.962,-31.738,-44.434,133.301,-36.621,0.000
1681290749.966,-30.273,-38.574,129.395,-38.574,0.000
1681290749.970,-32.227,-41.992,129.395,-33.203,0.000
1681290749.974,-34.668,-48.340,121.094,-22.949,0.000
1681290749.978,-32.715,-44.434,121.094,-24.414,0.000
1681290749.982,-27.832,-43.945,125.977,-29.297,0.000
1681290749.986,-28.320,-43.457,126.953,-20.508,0.000
1681290749.990,-25.879,-38.574,130.859,-8.301,0.000
1681290749.994,-23.438,-40.039,130.859,-6.836,0.000
1681290749.998,-31.738,-43.457,123.535,-15.137,0.000
1681290750.001,-30.762,-44.434,115.723,-24.414,0.000
1681290750.005,-24.414,-44.922,123.047,-23.438,0.000
1681290750.009,-24.902,-43.457,125.000,-9.766,0.000
1681290750.013,-28.809,-42.969,122.070,-11.719,0.000
1681290750.017,-32.227,-40.039,120.605,-27.344,0.000
1681290750.021,-24.414,-36.133,116.211,-31.250,0.000
1681290750.025,-17.090,-38.086,115.723,-23.926,0.000
1681290750.029,-20.996,-38.574,113.281,-19.043,0.000
1681290750.033,-29.785,-43.457,108.398,-19.531,0.000
1681290750.037,-28.320,-47.363,101.074,-17.578,0.000
1681290750.041,-31.738,-41.992,90.332,-23.926,0.000
1681290750.044,-35.156,-35.156,82.031,-25.391,0.000
1681290750.048,-22.461,-37.598,76.172,-18.555,0.000
1681290750.052,-30.273,-42.969,65.430,-21.973,0.000
1681290750.056,-27.344,-40.527,67.871,-19.043,0.000
1681290750.060,-26.367,-36.621,71.289,-23.926,0.000
1681290750.064,-33.203,-39.551,65.918,-32.227,0.000
1681290750.068,-28.320,-38.086,60.547,-25.879,0.000
1681290750.072,-34.180,-42.969,55.664,-21.484,0.000
1681290750.076,-34.180,-45.898,53.711,-28.320,0.000
1681290750.080,-31.250,-38.574,47.852,-31.738,0.000
1681290750.084,-27.832,-34.668,39.062,-33.203,0.000
1681290750.087,-24.414,-33.691,42.969,-25.391,0.000
1681290750.091,-22.461,-33.691,45.410,-17.578,0.000
1681290750.095,-24.414,-34.180,45.898,-27.344,0.000
1681290750.099,-30.762,-36.621,45.898,-38.086,0.000
1681290750.103,-33.691,-33.691,42.969,-35.156,0.000
1681290750.107,-27.832,-29.297,41.016,-30.762,0.000
1681290750.111,-32.715,-34.180,36.621,-24.902,0.000
1681290750.115,-33.203,-34.180,30.273,-22.461,0.000
1681290750.119,-18.555,-31.250,32.227,-25.879,0.000
1681290750.123,-22.949,-37.109,39.062,-32.227,0.000
1681290750.126,-25.879,-38.086,42.480,-35.156,0.000
1681290750.130,-18.555,-31.250,43.457,-24.902,0.000
1681290750.134,-25.879,-26.855,41.504,-25.391,0.000
1681290750.138,-33.203,-27.832,35.645,-38.086,0.000
1681290750.142,-26.855,-36.133,33.203,-43.945,0.000
1681290750.146,-25.879,-31.250,28.809,-32.227,0.000
1681290750.150,-20.996,-28.320,7.812,-21.484,0.000
1681290750.154,-27.344,-31.738,-10.742,-25.391,0.000
1681290750.158,-36.621,-34.668,-21.484,-33.691,0.000
1681290750.162,-44.922,-41.504,-24.414,-48.340,0.000
1681290750.166,-40.039,-40.039,-22.461,-41.504,0.000
1681290750.169,-32.227,-40.039,-30.273,-32.227,0.000
1681290750.173,-35.156,-42.480,-42.969,-33.203,0.000
1681290750.177,-31.738,-41.992,-39.062,-32.715,0.000
1681290750.181,-41.016,-40.527,-20.020,-44.434,0.000
1681290750.185,-39.062,-35.645,-12.695,-34.180,0.000
1681290750.189,-36.621,-38.086,-10.254,-30.273,0.000
1681290750.193,-37.109,-40.527,-7.324,-35.156,0.000
1681290750.197,-39.551,-43.457,-10.742,-39.062,0.000
1681290750.201,-48.828,-46.875,-6.348,-44.434,0.000
1681290750.205,-51.270,-47.852,3.418,-35.645,0.000
1681290750.209,-47.363,-50.781,6.348,-32.715,0.000
1681290750.212,-34.668,-48.340,10.254,-26.855,0.000
1681290750.216,-30.762,-43.457,12.695,-25.391,0.000
1681290750.220,-33.203,-41.016,14.648,-35.156,0.000
1681290750.224,-23.926,-42.480,19.531,-37.109,0.000
1681290750.228,-16.602,-37.598,16.113,-29.785,0.000
1681290750.232,-24.414,-36.133,16.602,-30.762,0.000
