timestamps,TP9,AF7,AF8,TP10,Right AUX
1681293331.430,-104.492,-866.211,35.645,-191.406,0.000
1681293331.434,3.906,-387.695,41.992,-27.344,0.000
1681293331.437,32.227,-235.840,51.270,58.105,0.000
1681293331.441,-64.941,-640.625,49.805,-17.090,0.000
1681293331.445,-180.664,-958.984,39.062,-125.488,0.000
1681293331.449,-162.598,-1000.000,37.109,-128.906,0.000
1681293331.453,-17.578,-869.629,47.363,0.000,0.000
1681293331.457,23.926,-846.191,44.434,122.070,0.000
1681293331.461,-53.711,-953.125,35.645,40.527,0.000
1681293331.465,-162.598,-906.250,31.738,-105.957,0.000
1681293331.469,-211.426,-994.629,27.344,-137.695,0.000
1681293331.473,-87.891,-1000.000,30.273,-33.691,0.000
1681293331.476,68.848,-897.461,25.879,55.664,0.000
1681293331.480,35.156,-800.781,13.184,-33.203,0.000
1681293331.484,-106.445,-949.707,10.742,-201.660,0.000
1681293331.488,-169.922,-1000.000,15.137,-326.660,0.000
1681293331.492,-133.301,-994.141,14.160,-347.656,0.000
1681293331.496,-56.641,-1000.000,18.555,-272.949,0.000
1681293331.500,-102.051,-1000.000,19.043,-333.008,0.000
1681293331.504,-272.461,-1000.000,20.020,-504.395,0.000
1681293331.508,-344.238,-1000.000,24.414,-598.633,0.000
1681293331.512,-228.516,-1000.000,24.414,-555.176,0.000
1681293331.516,-103.027,-1000.000,26.855,-427.246,0.000
1681293331.519,-135.742,-1000.000,29.785,-378.418,0.000
1681293331.523,-222.168,-1000.000,28.320,-427.246,0.000
1681293331.527,-208.496,-1000.000,25.879,-445.312,0.000
1681293331.531,-103.516,-1000.000,26.367,-348.633,0.000
1681293331.535,-29.297,-1000.000,24.414,-228.027,0.000
1681293331.539,-73.242,-1000.000,25.391,-233.887,0.000
1681293331.543,-206.055,-1000.000,23.438,-323.730,0.000
1681293331.547,-309.570,-1000.000,11.230,-367.676,0.000
1681293331.551,-247.070,-1000.000,4.395,-320.801,0.000
1681293331.555,-66.406,-999.512,7.812,-175.293,0.000
1681293331.559,0.977,-994.141,10.742,-83.496,0.000
1681293331.562,-118.164,-994.141,13.672,-148.438,0.000
1681293331.566,-220.215,-1000.000,14.648,-219.238,0.000
