timestamps,TP9,AF7,AF8,TP10,Right AUX
1681293172.385,-20.996,-970.215,-83.008,-21.973,0.000
1681293172.389,-20.508,-963.379,-89.355,-22.949,0.000
1681293172.393,-0.977,-957.520,-92.285,-42.480,0.000
1681293172.397,-20.020,-856.445,-84.473,-34.180,0.000
1681293172.400,-23.438,-887.207,-81.543,-20.020,0.000
1681293172.404,-9.277,-1000.000,-86.426,-29.297,0.000
1681293172.408,-17.090,-1000.000,-89.844,-22.949,0.000
1681293172.412,-21.484,-859.375,-84.473,-16.602,0.000
1681293172.416,-21.973,-819.336,-88.379,-20.996,0.000
1681293172.420,-5.371,-978.516,-94.238,-22.461,0.000
1681293172.424,-9.766,-954.102,-83.984,0.488,0.000
1681293172.428,-35.645,-787.598,-76.172,2.441,0.000
1681293172.432,-44.922,-754.395,-74.219,-20.508,0.000
1681293172.436,-23.438,-911.133,-76.172,-34.180,0.000
1681293172.440,-6.836,-1000.000,-77.637,-51.758,0.000
1681293172.443,-23.438,-949.707,-64.941,-57.129,0.000
1681293172.447,-51.270,-910.156,-62.012,-50.781,0.000
1681293172.451,-60.059,-1000.000,-66.406,-72.266,0.000
1681293172.455,-41.504,-990.234,-70.801,-88.867,0.000
1681293172.459,-33.691,-854.492,-65.430,-74.219,0.000
1681293172.463,-36.621,-874.512,-74.219,-64.453,0.000
1681293172.467,-20.020,-984.863,-83.008,-50.293,0.000
1681293172.471,-34.668,-909.180,-71.777,-41.504,0.000
1681293172.475,-47.852,-843.262,-73.730,-49.316,0.000
1681293172.479,-46.387,-901.855,-78.613,-60.059,0.000
1681293172.483,-35.156,-963.379,-75.684,-38.574,0.000
1681293172.486,-20.508,-860.840,-75.195,-23.926,0.000
1681293172.490,-54.688,-833.496,-80.078,-33.203,0.000
1681293172.494,-71.777,-940.918,-77.637,-22.461,0.000
1681293172.498,-68.848,-1000.000,-62.500,-18.555,0.000
1681293172.502,-53.711,-997.559,-59.570,-28.320,0.000
1681293172.506,-57.129,-876.465,-61.035,-17.578,0.000
1681293172.510,-39.062,-891.113,-69.824,-6.836,0.000
1681293172.514,-19.531,-1000.000,-71.289,-13.184,0.000
1681293172.518,-36.133,-916.504,-63.477,-20.508,0.000
1681293172.522,-16.602,-797.852,-66.406,-18.066,0.000
1681293172.525,-41.992,-879.883,-77.637,-14.160,0.000
1681293172.529,-61.523,-1000.000,-88.379,-24.414,0.000
1681293172.533,-60.547,-911.133,-72.266,-28.320,0.000
1681293172.537,-50.293,-804.688,-55.664,-36.133,0.000
1681293172.541,-18.555,-969.238,-54.199,-30.273,0.000
1681293172.545,-47.363,-1000.000,-62.500,-22.461,0.000
1681293172.549,-67.383,-982.422,-64.941,-26.367,0.000
1681293172.553,-74.707,-973.633,-51.758,-35.645,0.000
1681293172.557,-96.680,-1000.000,-48.340,-41.992,0.000
1681293172.561,-88.379,-900.391,-51.758,-35.645,0.000
1681293172.565,-80.566,-598.145,-53.711,-7.324,0.000
1681293172.568,-85.938,-560.547,-50.781,-5.859,0.000
1681293172.572,-77.148,-686.035,-44.922,-23.926,0.000
1681293172.576,-72.266,-568.848,-44.922,-21.973,0.000
1681293172.580,-84.473,-414.062,-48.828,-27.832,0.000
1681293172.584,-98.145,-602.051,-51.270,-22.949,0.000
1681293172.588,-104.980,-790.039,-52.246,-7.324,0.000
1681293172.592,-116.699,-862.305,-56.641,-21.973,0.000
1681293172.596,-124.512,-793.945,-47.852,-43.457,0.000
1681293172.600,-121.094,-685.547,-40.527,-52.734,0.000
1681293172.604,-111.816,-983.887,-44.922,-52.246,0.000
1681293172.607,-114.746,-895.020,-64.453,-57.129,0.000
1681293172.611,-123.047,-494.141,-86.426,-75.684,0.000
1681293172.615,-119.141,-654.297,-93.750,-95.703,0.000
1681293172.619,-159.180,-763.672,-113.281,-92.773,0.000
1681293172.623,-137.207,-672.363,-107.910,-61.523,0.000
1681293172.627,-104.980,-646.973,-75.684,-62.988,0.000
1681293172.631,-149.414,-613.281,-61.523,-99.121,0.000
1681293172.635,-145.996,-531.250,-59.570,-96.680,0.000
1681293172.639,-122.559,-591.797,-79.590,-82.031,0.000
1681293172.643,-118.164,-704.102,-69.824,-82.520,0.000
1681293172.647,-128.418,-827.148,-40.039,-74.219,0.000
